04:06:43.725 INFO  [com.animeshop.AnimeShopApplication] - Starting AnimeShopApplication using Java 22.0.1 with PID 4260 (C:\Users\ilona\IdeaProjects\anime-shop\target\classes started by ilona in C:\Users\ilona\IdeaProjects\anime-shop)
04:06:43.726 INFO  [com.animeshop.AnimeShopApplication] - No active profile set, falling back to 1 default profile: "default"
04:06:43.756 INFO  [org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
04:06:43.756 INFO  [org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
04:06:44.241 INFO  [org.springframework.data.repository.config.RepositoryConfigurationDelegate] - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
04:06:44.291 INFO  [org.springframework.data.repository.config.RepositoryConfigurationDelegate] - Finished Spring Data repository scanning in 45 ms. Found 6 JPA repository interfaces.
04:06:44.724 INFO  [org.springframework.boot.web.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port 8081 (http)
04:06:44.730 INFO  [org.apache.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-8081"]
04:06:44.731 INFO  [org.apache.catalina.core.StandardService] - Starting service [Tomcat]
04:06:44.731 INFO  [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/10.1.16]
04:06:44.769 INFO  [org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
04:06:44.769 INFO  [org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 1012 ms
04:06:44.885 INFO  [org.hibernate.jpa.internal.util.LogHelper] - HHH000204: Processing PersistenceUnitInfo [name: default]
04:06:44.925 INFO  [org.hibernate.Version] - HHH000412: Hibernate ORM core version 6.3.1.Final
04:06:44.951 INFO  [org.hibernate.cache.internal.RegionFactoryInitiator] - HHH000026: Second-level cache disabled
04:06:45.128 INFO  [org.springframework.orm.jpa.persistenceunit.SpringPersistenceUnitInfo] - No LoadTimeWeaver setup: ignoring JPA class transformer
04:06:45.147 INFO  [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Starting...
04:06:45.382 INFO  [com.zaxxer.hikari.pool.HikariPool] - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@699c1c9d
04:06:45.383 INFO  [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Start completed.
04:06:45.407 WARN  [org.hibernate.orm.deprecation] - HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
04:06:46.110 INFO  [org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator] - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
04:06:46.216 INFO  [org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean] - Initialized JPA EntityManagerFactory for persistence unit 'default'
04:06:46.467 INFO  [org.springframework.data.jpa.repository.query.QueryEnhancerFactory] - Hibernate is in classpath; If applicable, HQL parser will be used.
04:06:47.098 WARN  [org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration] - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
04:06:47.183 INFO  [org.springframework.boot.autoconfigure.web.servlet.WelcomePageHandlerMapping] - Adding welcome page template: index
04:06:47.310 INFO  [org.springframework.security.web.DefaultSecurityFilterChain] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@6bc5a958, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@99990be, org.springframework.security.web.context.SecurityContextHolderFilter@38e318c9, org.springframework.security.web.header.HeaderWriterFilter@73d2d5e, org.springframework.web.filter.CorsFilter@349d8dbc, org.springframework.security.web.csrf.CsrfFilter@3fdb21e9, org.springframework.security.web.authentication.logout.LogoutFilter@67245055, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@31118514, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@eef2bde, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@24096116, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@55ece213, org.springframework.security.web.access.ExceptionTranslationFilter@4f96b7b3, org.springframework.security.web.access.intercept.AuthorizationFilter@176eba04]
04:06:47.486 INFO  [org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer] - LiveReload server is running on port 35729
04:06:47.500 INFO  [org.apache.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-8081"]
04:06:47.513 INFO  [org.springframework.boot.web.embedded.tomcat.TomcatWebServer] - Tomcat started on port 8081 (http) with context path ''
04:06:47.518 INFO  [com.animeshop.AnimeShopApplication] - Started AnimeShopApplication in 4.126 seconds (process running for 4.632)
04:10:33.225 INFO  [org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean] - Closing JPA EntityManagerFactory for persistence unit 'default'
04:10:33.227 INFO  [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Shutdown initiated...
04:10:33.230 INFO  [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Shutdown completed.
04:10:39.676 INFO  [com.animeshop.AnimeShopApplication] - Starting AnimeShopApplication using Java 22.0.1 with PID 19912 (C:\Users\ilona\IdeaProjects\anime-shop\target\classes started by ilona in C:\Users\ilona\IdeaProjects\anime-shop)
04:10:39.678 INFO  [com.animeshop.AnimeShopApplication] - No active profile set, falling back to 1 default profile: "default"
04:10:39.706 INFO  [org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
04:10:39.706 INFO  [org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
04:10:40.167 INFO  [org.springframework.data.repository.config.RepositoryConfigurationDelegate] - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
04:10:40.218 INFO  [org.springframework.data.repository.config.RepositoryConfigurationDelegate] - Finished Spring Data repository scanning in 45 ms. Found 6 JPA repository interfaces.
04:10:40.650 INFO  [org.springframework.boot.web.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port 8081 (http)
04:10:40.655 INFO  [org.apache.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-8081"]
04:10:40.656 INFO  [org.apache.catalina.core.StandardService] - Starting service [Tomcat]
04:10:40.656 INFO  [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/10.1.16]
04:10:40.690 INFO  [org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
04:10:40.690 INFO  [org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 983 ms
04:10:40.801 INFO  [org.hibernate.jpa.internal.util.LogHelper] - HHH000204: Processing PersistenceUnitInfo [name: default]
04:10:40.843 INFO  [org.hibernate.Version] - HHH000412: Hibernate ORM core version 6.3.1.Final
04:10:40.868 INFO  [org.hibernate.cache.internal.RegionFactoryInitiator] - HHH000026: Second-level cache disabled
04:10:41.036 INFO  [org.springframework.orm.jpa.persistenceunit.SpringPersistenceUnitInfo] - No LoadTimeWeaver setup: ignoring JPA class transformer
04:10:41.054 INFO  [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Starting...
04:10:41.172 INFO  [com.zaxxer.hikari.pool.HikariPool] - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@39f5e2c3
04:10:41.174 INFO  [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Start completed.
04:10:41.199 WARN  [org.hibernate.orm.deprecation] - HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
04:10:41.959 INFO  [org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator] - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
04:10:42.077 INFO  [org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean] - Initialized JPA EntityManagerFactory for persistence unit 'default'
04:10:42.360 INFO  [org.springframework.data.jpa.repository.query.QueryEnhancerFactory] - Hibernate is in classpath; If applicable, HQL parser will be used.
04:10:43.001 WARN  [org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration] - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
04:10:43.077 INFO  [org.springframework.boot.autoconfigure.web.servlet.WelcomePageHandlerMapping] - Adding welcome page template: index
04:10:43.205 INFO  [org.springframework.security.web.DefaultSecurityFilterChain] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@12b9bdeb, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@2a617a05, org.springframework.security.web.context.SecurityContextHolderFilter@5e168fea, org.springframework.security.web.header.HeaderWriterFilter@3f7438ac, org.springframework.web.filter.CorsFilter@6d1be055, org.springframework.security.web.csrf.CsrfFilter@13369720, org.springframework.security.web.authentication.logout.LogoutFilter@5dcc56dc, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@128c2ae, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@725c2999, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@22ba5f94, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@738dbc3b, org.springframework.security.web.access.ExceptionTranslationFilter@6d7a29b9, org.springframework.security.web.access.intercept.AuthorizationFilter@7a48451c]
04:10:43.396 INFO  [org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer] - LiveReload server is running on port 35729
04:10:43.411 INFO  [org.apache.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-8081"]
04:10:43.426 INFO  [org.springframework.boot.web.embedded.tomcat.TomcatWebServer] - Tomcat started on port 8081 (http) with context path ''
04:10:43.431 INFO  [com.animeshop.AnimeShopApplication] - Started AnimeShopApplication in 4.087 seconds (process running for 4.602)
04:13:22.960 INFO  [org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]] - Initializing Spring DispatcherServlet 'dispatcherServlet'
04:13:22.960 INFO  [org.springframework.web.servlet.DispatcherServlet] - Initializing Servlet 'dispatcherServlet'
04:13:22.961 INFO  [org.springframework.web.servlet.DispatcherServlet] - Completed initialization in 1 ms
04:13:22.970 WARN  [org.springframework.web.servlet.handler.HandlerMappingIntrospector] - Cache miss for REQUEST dispatch to '/login' (previous null). Performing CorsConfiguration lookup. This is logged once only at WARN level, and every time at TRACE.
04:13:23.228 WARN  [org.springframework.web.servlet.handler.HandlerMappingIntrospector] - Cache miss for REQUEST dispatch to '/' (previous null). Performing MatchableHandlerMapping lookup. This is logged once only at WARN level, and every time at TRACE.
04:15:18.470 INFO  [org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean] - Closing JPA EntityManagerFactory for persistence unit 'default'
04:15:18.472 INFO  [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Shutdown initiated...
04:15:18.474 INFO  [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Shutdown completed.
04:16:31.903 INFO  [com.animeshop.AnimeShopApplication] - Starting AnimeShopApplication using Java 22.0.1 with PID 11752 (C:\Users\ilona\IdeaProjects\anime-shop\target\classes started by ilona in C:\Users\ilona\IdeaProjects\anime-shop)
04:16:31.905 INFO  [com.animeshop.AnimeShopApplication] - No active profile set, falling back to 1 default profile: "default"
04:16:31.935 INFO  [org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
04:16:31.935 INFO  [org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
04:16:32.417 INFO  [org.springframework.data.repository.config.RepositoryConfigurationDelegate] - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
04:16:32.466 INFO  [org.springframework.data.repository.config.RepositoryConfigurationDelegate] - Finished Spring Data repository scanning in 44 ms. Found 6 JPA repository interfaces.
04:16:32.895 INFO  [org.springframework.boot.web.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port 8081 (http)
04:16:32.901 INFO  [org.apache.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-8081"]
04:16:32.902 INFO  [org.apache.catalina.core.StandardService] - Starting service [Tomcat]
04:16:32.902 INFO  [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/10.1.16]
04:16:32.943 INFO  [org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
04:16:32.944 INFO  [org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 1009 ms
04:16:33.082 INFO  [org.hibernate.jpa.internal.util.LogHelper] - HHH000204: Processing PersistenceUnitInfo [name: default]
04:16:33.127 INFO  [org.hibernate.Version] - HHH000412: Hibernate ORM core version 6.3.1.Final
04:16:33.159 INFO  [org.hibernate.cache.internal.RegionFactoryInitiator] - HHH000026: Second-level cache disabled
04:16:33.354 INFO  [org.springframework.orm.jpa.persistenceunit.SpringPersistenceUnitInfo] - No LoadTimeWeaver setup: ignoring JPA class transformer
04:16:33.375 INFO  [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Starting...
04:16:33.510 INFO  [com.zaxxer.hikari.pool.HikariPool] - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@65c871c2
04:16:33.511 INFO  [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Start completed.
04:16:33.539 WARN  [org.hibernate.orm.deprecation] - HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
04:16:34.343 INFO  [org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator] - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
04:16:34.454 INFO  [org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean] - Initialized JPA EntityManagerFactory for persistence unit 'default'
04:16:34.750 INFO  [org.springframework.data.jpa.repository.query.QueryEnhancerFactory] - Hibernate is in classpath; If applicable, HQL parser will be used.
04:16:35.417 WARN  [org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration] - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
04:16:35.508 INFO  [org.springframework.boot.autoconfigure.web.servlet.WelcomePageHandlerMapping] - Adding welcome page template: index
